Please provide hourly results  in mg/m3 of CO monitoring conducted in Dublin City by completing the table below. ,,,,,,,,,
The 8 hour rolling avgerages will calculate automatically. ,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,
Dublin City Council,,,,,,,,,
Site,,           Wood Quay (Winetavern St.),,,,         Coleraine Street,,,
Date,Time,CO mg/m3,8 hr roling avg,Flag,Comment,CO mg/m3,8 hr roling avg,Flag,Comment
15/04/2011,9.00,0.1,0.1,2,,0.3,0.3,2,
15/04/2011,10.00,0.1,0.1,2,,0.2,0.3,2,
15/04/2011,11.00,0.1,0.1,2,,0.2,0.3,2,
15/04/2011,12.00,0.1,0.1,2,,0.3,0.3,2,
15/04/2011,13.00,0.1,0.1,2,,0.2,0.3,2,
15/04/2011,14.00,0.1,0.1,2,,0.2,0.3,2,
15/04/2011,15.00,0.1,0.1,2,,0.2,0.3,2,
15/04/2011,16.00,0.1,0.1,2,,0.2,0.2,2,
15/04/2011,17.00,0.1,0.1,2,,0.2,0.2,2,
15/04/2011,18.00,0.1,0.1,2,,0.3,0.2,2,
15/04/2011,19.00,0.1,0.1,2,,0.3,0.2,2,
15/04/2011,20.00,0.1,0.1,2,,0.3,0.2,2,
